Date	Départ	Arrivée	Commentaires	regularity	obs_person	obs_animal	obs_weather	obs_malicious	obs_construction	obs_strike	obs_technical
2015-08	BORDEAUX ST JEAN	PARIS MONTPARNASSE	"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique l'OD a été touchée par la foudre sur la caténaire à Coutras le 3 (9 TGV ; 732mn), un affaissement caténaire à Ruffec (28 TGV ;  1726mn) et un dérangement des installations radio entre Mouthiers et St Aigulin (27 TGV ; 310mn) le 4 et un accident de personne à Poitiers le 8 (29 TGV ; 2219mn)."		1	1	1	0	0	0	1
2015-08	DOUAI	PARIS NORD			0	0	0	0	0	0	0
2015-08	DUNKERQUE	PARIS NORD			0	0	0	0	0	0	0
2015-08	LAVAL	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2015-08	LYON PART DIEU	MARSEILLE ST CHARLES	En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)		1	0	1	0	0	0	0
2015-08	MONTPELLIER	LYON PART DIEU	En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)		1	0	1	0	0	0	0
2015-08	NICE VILLE	PARIS LYON	En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)		1	0	1	0	0	0	0
2015-08	PARIS EST	METZ			0	0	0	0	0	0	0
2015-08	PARIS LYON	DIJON VILLE			0	0	0	0	0	0	0
2015-08	PARIS LYON	LE CREUSOT MONTCEAU MONTCHANIN			0	0	0	0	0	0	0
2015-08	PARIS LYON	MONTPELLIER	En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)		1	0	1	0	0	0	0
2015-08	PARIS LYON	NICE VILLE			0	0	0	0	0	0	0
2015-08	PARIS LYON	TOULON			0	0	0	0	0	0	0
2015-08	PARIS MONTPARNASSE	ANGOULEME			0	0	0	0	0	0	0
2015-08	PARIS MONTPARNASSE	LAVAL			0	0	0	0	0	0	0
2015-08	PARIS MONTPARNASSE	NANTES			0	0	0	0	0	0	0
2015-08	PARIS MONTPARNASSE	VANNES	"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique, l'OD a été touchée par le heurt d'un tracteur à Noyal Acigné le 2 (102 TGV; 7814mn), le heurt d'un animal à Malansac le 5 (5 TGV ; 297mn) et un arbre sur la caténaire à la sortie du Mans le 24 (14 TGV ; 640mn)"		1	1	1	0	0	0	1
2015-08	PARIS NORD	DOUAI			0	0	0	0	0	0	0
2015-08	TOULON	PARIS LYON			0	0	0	0	0	0	0
2015-08	VALENCE ALIXAN TGV	PARIS LYON	En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)		1	0	1	0	0	0	0
2015-09	ANGOULEME	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2015-09	AVIGNON TGV	PARIS LYON			0	0	0	0	0	0	0
2015-09	CHAMBERY CHALLES LES EAUX	PARIS LYON			0	0	0	0	0	0	0
2015-09	DOUAI	PARIS NORD			0	0	0	0	0	0	0
2015-09	METZ	PARIS EST			0	0	0	0	0	0	0
2015-09	MONTPELLIER	PARIS LYON	Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants		1	0	0	0	0	0	0
2015-09	NANTES	STRASBOURG			0	0	0	0	0	0	0
2015-09	PARIS EST	NANCY			0	0	0	0	0	0	0
2015-09	PARIS LYON	BESANCON FRANCHE COMTE TGV			0	0	0	0	0	0	0
2015-09	PARIS LYON	LE CREUSOT MONTCEAU MONTCHANIN			0	0	0	0	0	0	0
2015-09	PARIS LYON	MULHOUSE VILLE	Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants		1	0	0	0	0	0	0
2015-09	PARIS LYON	NIMES	Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants		1	0	0	0	0	0	0
2015-09	PARIS LYON	PERPIGNAN	Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants		1	0	0	0	0	0	0
2015-09	PARIS LYON	SAINT ETIENNE CHATEAUCREUX	Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants		1	0	0	0	0	0	0
2015-09	PARIS MONTPARNASSE	ANGERS SAINT LAUD			0	0	0	0	0	0	0
2015-09	PARIS MONTPARNASSE	BREST	"Cette ligne a été touchée par les incidents suivants :
- 02/09 : panne d’un TER au Mans (7 trains touchés ; 436 minutes perdues)
- 03/09 : problème d’aiguillage à St Léger (LGV) (34 trains touchés ; 811 minutes perdues)
- 11/09 : heurt d’un sanglier vers St Arnoult (20 trains touchés ; 1231 minutes perdues)
- 24/09 : dérangement d’aiguillage à Laval (14 trains touchés ; 951 minutes perdues)
- 27/09 : accident de personne vers Vitré (14 trains touchés ; 1432 minutes perdues)"		1	1	0	0	0	0	1
2015-09	PARIS MONTPARNASSE	QUIMPER			0	0	0	0	0	0	0
2015-09	PARIS MONTPARNASSE	ST MALO			0	0	0	0	0	0	0
2015-09	PARIS MONTPARNASSE	TOULOUSE MATABIAU			0	0	0	0	0	0	0
2015-09	PARIS NORD	DOUAI			0	0	0	0	0	0	0
2015-09	PARIS NORD	DUNKERQUE			0	0	0	0	0	0	0
2015-09	PARIS NORD	LILLE			0	0	0	0	0	0	0
2015-09	PARIS NORD	ARRAS			0	0	0	0	0	0	0
2015-09	ST MALO	PARIS MONTPARNASSE	"Cette ligne a été touchée par les incidents suivants :
- 02/09 : panne d’un TER au Mans (7 trains touchés ; 436 minutes perdues)
- 03/09 : problème d’aiguillage à St Léger (LGV) (34 trains touchés ; 811 minutes perdues)
- 11/09 : heurt d’un sanglier vers St Arnoult (20 trains touchés ; 1231 minutes perdues)
- 24/09 : dérangement d’aiguillage à Laval (14 trains touchés ; 951 minutes perdues)
- 27/09 : accident de personne vers Vitré (14 trains touchés ; 1432 minutes perdues)"		1	1	0	0	0	0	1
