Date	year	month	line_section	regularity
2012-07	2012	7	S1_1_1_1_2_1_1_1	0.8537886872998932
2012-07	2012	7	S1_1_1_1_2_1_1_1_1	0.8658536585365854
2012-07	2012	7	S1_1_1_1_2_1_2	0.8376916140667268
2012-07	2012	7	S1_1_1_1_2_1_2_1	0.8329121033417579
2012-07	2012	7	S1_1_1_1_2_1_2_1_1	0.8040737148399613
2012-07	2012	7	S1_1_1_1_2_1_2_1_1_1	0.7623126338329764
2012-07	2012	7	S1_1_1_1_3	0.9271817676486938
2012-07	2012	7	S1_1_1_1_3_1	0.9508196721311475
2012-07	2012	7	S1_1_1_1_3_2	0.9393203883495146
2012-07	2012	7	S1_1_1_1_3_3	0.9182509505703422
2012-07	2012	7	S1_2	0.9257112750263435
2012-07	2012	7	S1_2_1	0.9190523198420533
2012-07	2012	7	S1_2_1_1	0.9221453287197232
2012-08	2012	8	A1	0.9402434526005164
2012-08	2012	8	A1_1	0.9473862290644561
2012-08	2012	8	A1_1_1	0.9616613418530351
2012-08	2012	8	A1_1_1_1	0.9745222929936306
2012-08	2012	8	A1_1_1_2	0.9922077922077922
2012-08	2012	8	A1_1_1_3	0.9497206703910615
2012-08	2012	8	A1_1_1_3_1	0.9429429429429429
2012-08	2012	8	A1_1_2	0.9360236220472441
